var_fecha,var_hora,Valor
23/02/2013,15:08:37,NULL
23/02/2013,15:15:00,12.20722222
23/02/2013,15:30:00,12.40111111
23/02/2013,15:45:00,11.625
23/02/2013,16:00:00,10.94388889
23/02/2013,16:15:00,10.74777778
23/02/2013,16:30:00,10.94388889
23/02/2013,16:45:00,10.65111111
23/02/2013,17:00:00,10.55277778
23/02/2013,17:15:00,10.35722222
23/02/2013,17:30:00,10.06277778
23/02/2013,17:45:00,10.06277778
23/02/2013,18:00:00,9.965
23/02/2013,18:15:00,9.767777778
23/02/2013,18:30:00,9.668888889
23/02/2013,18:45:00,9.571111111
23/02/2013,19:00:00,9.571111111
23/02/2013,19:15:00,9.472222222
23/02/2013,19:30:00,9.472222222
23/02/2013,19:45:00,9.372777778
23/02/2013,20:00:00,9.372777778
23/02/2013,20:15:00,9.372777778
23/02/2013,20:30:00,9.372777778
23/02/2013,20:45:00,9.372777778
23/02/2013,21:00:00,9.372777778
23/02/2013,21:15:00,9.472222222
23/02/2013,21:30:00,9.372777778
23/02/2013,21:45:00,9.372777778
23/02/2013,22:00:00,9.372777778
23/02/2013,22:15:00,9.372777778
23/02/2013,22:30:00,9.372777778
23/02/2013,22:45:00,9.372777778
23/02/2013,23:00:00,9.372777778
23/02/2013,23:15:00,9.372777778
23/02/2013,23:30:00,9.275
23/02/2013,23:45:00,9.275
24/02/2013,0:00:00,9.275
24/02/2013,0:15:00,9.176111111
24/02/2013,0:30:00,9.176111111
24/02/2013,0:45:00,9.176111111
24/02/2013,1:00:00,9.077222222
24/02/2013,1:15:00,9.077222222
24/02/2013,1:30:00,9.077222222
24/02/2013,1:45:00,9.077222222
24/02/2013,2:00:00,9.077222222
24/02/2013,2:15:00,9.077222222
24/02/2013,2:30:00,9.077222222
24/02/2013,2:45:00,9.077222222
24/02/2013,3:00:00,9.077222222
24/02/2013,3:15:00,9.077222222
24/02/2013,3:30:00,9.077222222
24/02/2013,3:45:00,9.077222222
24/02/2013,4:00:00,9.077222222
24/02/2013,4:15:00,9.077222222
24/02/2013,4:30:00,8.977777778
24/02/2013,4:36:35,NULL
24/02/2013,4:45:00,8.878888889
24/02/2013,5:00:00,8.878888889
24/02/2013,5:15:00,8.878888889
24/02/2013,5:25:47,NULL
24/02/2013,5:30:00,8.878888889
24/02/2013,5:45:00,8.878888889
24/02/2013,6:00:00,8.878888889
24/02/2013,6:15:00,8.68
24/02/2013,6:30:00,8.481111111
24/02/2013,6:45:00,8.182222222
24/02/2013,7:00:00,8.282222222
24/02/2013,7:15:00,8.581111111
24/02/2013,7:30:00,9.077222222
24/02/2013,7:45:00,9.372777778
24/02/2013,8:00:00,9.668888889
24/02/2013,8:15:00,9.965
24/02/2013,8:30:00,9.965
24/02/2013,8:45:00,9.965
24/02/2013,9:00:00,10.84611111
24/02/2013,9:15:00,15.56888889
24/02/2013,9:30:00,14.13388889
24/02/2013,21:45:00,9.472222222
24/02/2013,22:00:00,9.472222222
24/02/2013,22:15:00,9.472222222
24/02/2013,22:30:00,9.372777778
24/02/2013,22:45:00,9.372777778
24/02/2013,23:00:00,9.472222222
24/02/2013,23:15:00,9.472222222
24/02/2013,23:30:00,9.472222222
24/02/2013,23:45:00,9.372777778
24/02/2013,9:45:00,13.94222222
24/02/2013,10:00:00,14.325
24/02/2013,10:15:00,14.23
24/02/2013,10:30:00,14.51722222
24/02/2013,10:45:00,16.14111111
24/02/2013,11:00:00,15.56888889
24/02/2013,11:15:00,14.99611111
24/02/2013,11:30:00,15.37777778
24/02/2013,11:45:00,14.42111111
24/02/2013,12:00:00,12.98
24/02/2013,12:15:00,14.23
24/02/2013,12:30:00,14.9
24/02/2013,12:45:00,14.80388889
24/02/2013,13:00:00,13.17277778
24/02/2013,13:15:00,13.75
24/02/2013,13:30:00,14.61277778
24/02/2013,13:45:00,13.84611111
24/02/2013,14:00:00,12.59388889
24/02/2013,14:15:00,12.40111111
24/02/2013,14:30:00,13.46111111
24/02/2013,14:45:00,12.98
24/02/2013,15:00:00,12.69
24/02/2013,15:15:00,13.07611111
24/02/2013,15:30:00,12.98
24/02/2013,15:45:00,12.69
24/02/2013,16:00:00,12.11
24/02/2013,16:05:50,NULL
24/02/2013,16:15:00,12.11
24/02/2013,16:30:00,11.91611111
24/02/2013,16:45:00,12.01277778
24/02/2013,17:00:00,11.33388889
24/02/2013,17:15:00,10.94388889
24/02/2013,17:30:00,10.94388889
24/02/2013,17:45:00,10.55277778
24/02/2013,18:00:00,10.35722222
24/02/2013,18:15:00,10.25888889
24/02/2013,18:30:00,10.16111111
24/02/2013,18:45:00,10.16111111
24/02/2013,19:00:00,10.16111111
24/02/2013,19:15:00,10.06277778
24/02/2013,19:30:00,9.965
24/02/2013,19:45:00,9.866111111
24/02/2013,20:00:00,9.866111111
24/02/2013,20:15:00,9.767777778
24/02/2013,20:30:00,9.767777778
24/02/2013,20:45:00,9.767777778
24/02/2013,21:00:00,9.668888889
24/02/2013,21:15:00,9.668888889
24/02/2013,21:30:00,9.472222222
25/02/2013,0:00:00,9.176111111
