med_fecha;med_hora;med_valor 
25/09/2010;13:29:12;12.968
25/09/2010;13:44:12;11.904
25/09/2010;13:59:12;11.953
25/09/2010;14:14:12;11.807
25/09/2010;14:29:12;12.147
25/09/2010;14:44:12;13.401
25/09/2010;14:59:12;11.832
25/09/2010;15:14:12;10.247
25/09/2010;15:29:12;11.224
25/09/2010;15:44:12;11.175
25/09/2010;15:59:12;11.127
25/09/2010;16:14:12;8.817
25/09/2010;16:29:12;8.965
25/09/2010;16:44:12;9.064
25/09/2010;16:59:12;8.717
25/09/2010;17:14:12;9.657
25/09/2010;17:29:12;8.095
25/09/2010;17:44:12;8.419
25/09/2010;17:59:12;8.22
25/09/2010;18:14:12;8.742
25/09/2010;18:29:12;8.99
25/09/2010;18:44:12;6.914
25/09/2010;18:59:12;6.102
25/09/2010;19:14:12;5.745
25/09/2010;19:29:12;5.462
25/09/2010;19:44:12;5.437
25/09/2010;19:59:12;5.77
25/09/2010;20:14:12;6.026
25/09/2010;20:29:12;6.204
25/09/2010;20:44:12;5.642
25/09/2010;20:59:12;4.766
25/09/2010;21:14:12;5.231
25/09/2010;21:29:12;6.128
25/09/2010;21:44:12;5.565
25/09/2010;21:59:12;6.306
25/09/2010;22:14:12;6.255
25/09/2010;22:29:12;6.636
25/09/2010;22:44:12;7.268
25/09/2010;22:59:12;6.56
25/09/2010;23:14:12;6.661
25/09/2010;23:29:12;6.433
25/09/2010;23:44:12;6.813
25/09/2010;23:59:12;7.167
26/09/2010;0:14:12;7.041
26/09/2010;0:29:12;6.56
26/09/2010;0:44:12;6.763
26/09/2010;0:59:12;5.924
26/09/2010;1:14:12;6.611
26/09/2010;1:29:12;7.97
26/09/2010;1:44:12;6.051
26/09/2010;1:59:12;5.745
26/09/2010;2:14:12;6.204
26/09/2010;2:29:12;6.331
26/09/2010;2:44:12;6.204
26/09/2010;2:59:12;6.763
26/09/2010;3:14:12;6.737
26/09/2010;3:29:12;6.408
26/09/2010;3:44:12;6.661
26/09/2010;3:59:12;6.99
26/09/2010;4:14:12;5.231
26/09/2010;4:29:12;5.488
26/09/2010;4:44:12;5.975
26/09/2010;4:59:12;6.585
26/09/2010;5:14:12;5.128
26/09/2010;5:29:12;5.796
26/09/2010;5:44:12;5.745
26/09/2010;5:59:12;6.026
26/09/2010;6:14:12;5.539
26/09/2010;6:29:12;6.153
26/09/2010;6:44:12;7.72
26/09/2010;6:59:12;8.02
26/09/2010;7:14:12;7.419
26/09/2010;7:29:12;7.544
26/09/2010;7:44:12;7.619
26/09/2010;7:59:12;8.866
26/09/2010;8:14:12;10.345
26/09/2010;8:29:12;9.509
26/09/2010;8:44:12;10.001
26/09/2010;8:59:12;9.731
26/09/2010;9:14:12;11.54
26/09/2010;9:29:12;12.413
26/09/2010;9:44:12;12.871
26/09/2010;9:59:12;14.721
26/09/2010;10:14:12;13.546
26/09/2010;10:29:12;14.96
26/09/2010;10:44:12;16.272
26/09/2010;10:59:12;14.026
26/09/2010;11:14:12;14.194
26/09/2010;11:29:12;14.601
26/09/2010;11:44:12;15.629
26/09/2010;11:59:12;14.529
26/09/2010;12:14:12;14.984
26/09/2010;12:29:12;17.463
26/09/2010;12:44:12;14.888
26/09/2010;12:59:12;17.058
26/09/2010;13:14:12;19.056
26/09/2010;13:29:12;15.008
26/09/2010;13:44:12;13.088
26/09/2010;13:59:12;13.642
26/09/2010;14:14:12;12.968
26/09/2010;14:29:12;14.84
26/09/2010;14:44:12;13.978
26/09/2010;14:59:12;13.064
26/09/2010;15:14:12;14.266
26/09/2010;15:29:12;15.366
26/09/2010;15:44:12;15.366
26/09/2010;15:59:12;14.577
26/09/2010;16:14:12;13.04
26/09/2010;16:29:12;11.613
26/09/2010;16:44:12;11.029
26/09/2010;16:59:12;11.443
26/09/2010;17:14:12;9.312
26/09/2010;17:29:12;9.015
26/09/2010;17:44:12;8.494
26/09/2010;17:59:12;8.469
26/09/2010;18:14:12;8.195
26/09/2010;18:29:12;8.045
26/09/2010;18:44:12;8.02
26/09/2010;18:59:12;7.645
26/09/2010;19:14:12;7.469
26/09/2010;19:29:12;7.544
26/09/2010;19:44:12;7.318
26/09/2010;19:59:12;7.041
26/09/2010;20:14:12;6.914
26/09/2010;20:29:12;6.535
26/09/2010;20:44:12;6.484
26/09/2010;20:59:12;6.077
26/09/2010;21:14:12;5.898
26/09/2010;21:29:12;5.257
26/09/2010;21:44:12;5.514
26/09/2010;21:59:12;6.204
26/09/2010;22:14:12;6.611
26/09/2010;22:29:12;6.179
26/09/2010;22:44:12;6.611
26/09/2010;22:59:12;6.611
26/09/2010;23:14:12;6.788
26/09/2010;23:29:12;6.408
26/09/2010;23:44:12;5.924
26/09/2010;23:59:12;4.74
27/09/2010;0:14:12;4.61
27/09/2010;0:29:12;4.402
27/09/2010;0:44:12;5.591
27/09/2010;0:59:12;5.693
27/09/2010;1:14:12;5.231
27/09/2010;1:29:12;6.204
27/09/2010;1:44:12;6.408
27/09/2010;1:59:12;6.153
27/09/2010;2:14:12;5.796
27/09/2010;2:29:12;5.796
27/09/2010;2:44:12;6.026
27/09/2010;2:59:12;4.973
27/09/2010;3:14:12;4.74
27/09/2010;3:29:12;4.532
27/09/2010;3:44:12;4.973
27/09/2010;3:59:12;4.141
27/09/2010;4:14:12;4.584
27/09/2010;4:29:12;5.179
27/09/2010;4:44:12;5.05
27/09/2010;4:59:12;2.477
27/09/2010;5:14:12;4.61
27/09/2010;5:29:12;4.037
27/09/2010;5:44:12;5.257
27/09/2010;5:59:12;5.024
27/09/2010;6:14:12;6.408
27/09/2010;6:29:12;6.306
27/09/2010;6:44:12;5.642
27/09/2010;6:59:12;7.318
27/09/2010;7:14:12;8.717
27/09/2010;7:29:12;7.82
27/09/2010;7:44:12;8.742
27/09/2010;7:59:12;10.541
27/09/2010;8:14:12;10.834
27/09/2010;8:29:12;10.81
27/09/2010;8:44:12;11.321
27/09/2010;8:59:12;12.823
27/09/2010;9:14:12;11.832
27/09/2010;9:29:12;12.703
27/09/2010;9:44:12;13.834
27/09/2010;9:59:12;13.064
27/09/2010;10:14:12;13.978
27/09/2010;10:29:12;15.031
27/09/2010;10:44:12;14.409
27/09/2010;10:59:12;15.318
27/09/2010;11:14:12;14.505
27/09/2010;11:29:12;13.906
27/09/2010;11:44:12;12.292
27/09/2010;11:59:12;13.353
27/09/2010;12:14:12;12.606
27/09/2010;12:29:12;13.762
27/09/2010;12:44:12;12.485
27/09/2010;12:59:12;11.856
27/09/2010;13:14:12;12.316
27/09/2010;13:29:12;12.775
27/09/2010;13:44:12;13.04
27/09/2010;13:59:12;12.775
27/09/2010;14:14:12;11.394
27/09/2010;14:29:12;10.271
27/09/2010;14:44:12;9.977
27/09/2010;14:59:12;10.541
27/09/2010;15:14:12;9.312
27/09/2010;15:29:12;12.001
27/09/2010;15:44:12;12.992
27/09/2010;15:59:12;13.642
27/09/2010;16:14:12;10.736
27/09/2010;16:29:12;12.775
27/09/2010;16:44:12;9.854
27/09/2010;16:59:12;9.089
27/09/2010;17:14:12;7.368
27/09/2010;17:29:12;7.167
27/09/2010;17:44:12;7.268
27/09/2010;17:59:12;6.99
27/09/2010;18:14:12;7.116
27/09/2010;18:29:12;6.864
27/09/2010;18:44:12;6.611
27/09/2010;18:59:12;6.839
27/09/2010;19:14:12;6.788
27/09/2010;19:29:12;6.712
27/09/2010;19:44:12;6.813
27/09/2010;19:59:12;6
27/09/2010;20:14:12;6.433
27/09/2010;20:29:12;6.535
27/09/2010;20:44:12;6.204
27/09/2010;20:59:12;5.565
27/09/2010;21:14:12;5.488
27/09/2010;21:29:12;5.796
27/09/2010;21:44:12;5.642
27/09/2010;21:59:12;5.514
27/09/2010;22:14:12;4.869
27/09/2010;22:29:12;4.792
27/09/2010;22:44:12;5.539
27/09/2010;22:59:12;5.334
27/09/2010;23:14:12;5.539
27/09/2010;23:29:12;5.179
27/09/2010;23:44:12;5.076
27/09/2010;23:59:12;5.488
28/09/2010;0:14:12;5.102
28/09/2010;0:29:12;5.257
28/09/2010;0:44:12;4.22
28/09/2010;0:59:12;5.231
28/09/2010;1:14:12;5.334
28/09/2010;1:29:12;5.128
28/09/2010;1:44:12;4.428
28/09/2010;1:59:12;4.428
28/09/2010;2:14:12;3.985
28/09/2010;2:29:12;4.584
28/09/2010;2:44:12;4.246
28/09/2010;2:59:12;3.512
28/09/2010;3:14:12;3.433
28/09/2010;3:29:12;4.298
28/09/2010;3:44:12;4.35
28/09/2010;3:59:12;3.617
28/09/2010;4:14:12;3.906
28/09/2010;4:29:12;4.063
28/09/2010;4:44:12;4.402
28/09/2010;4:59:12;4.011
28/09/2010;5:14:12;4.089
28/09/2010;5:29:12;3.459
28/09/2010;5:44:12;3.827
28/09/2010;5:59:12;3.985
28/09/2010;6:14:12;3.985
28/09/2010;6:29:12;4.35
28/09/2010;6:44:12;4.558
28/09/2010;6:59:12;5.128
28/09/2010;7:14:12;8.02
28/09/2010;7:29:12;6.611
28/09/2010;7:44:12;6.712
28/09/2010;7:59:12;7.066
28/09/2010;8:14:12;9.213
28/09/2010;8:29:12;10.32
28/09/2010;8:44:12;9.287
28/09/2010;8:59:12;10.712
28/09/2010;9:14:12;10.247
28/09/2010;9:29:12;12.195
28/09/2010;9:44:12;13.497
28/09/2010;9:59:12;10.541
28/09/2010;10:14:12;12.098
28/09/2010;10:29:12;12.896
28/09/2010;10:44:12;13.016
28/09/2010;10:59:12;15.223
28/09/2010;11:14:12;15.819
28/09/2010;11:29:12;13.209
28/09/2010;11:44:12;13.233
28/09/2010;11:59:12;14.098
28/09/2010;12:14:12;13.93
28/09/2010;12:29:12;12.195
28/09/2010;12:44:12;11.467
28/09/2010;12:59:12;12.025
28/09/2010;13:14:12;12.001
28/09/2010;13:29:12;11.078
28/09/2010;13:44:12;14.553
28/09/2010;13:59:12;13.088
28/09/2010;14:14:12;13.93
28/09/2010;14:29:12;14.409
28/09/2010;14:44:12;13.906
28/09/2010;14:59:12;16.177
28/09/2010;15:14:12;15.629
28/09/2010;15:29:12;14.337
28/09/2010;15:44:12;13.449
28/09/2010;15:59:12;12.098
28/09/2010;16:14:12;11.078
28/09/2010;16:29:12;9.312
28/09/2010;16:44:12;7.268
28/09/2010;16:59:12;7.67
28/09/2010;17:14:12;7.343
28/09/2010;17:29:12;6.737
28/09/2010;17:44:12;6.179
28/09/2010;17:59:12;6.23
28/09/2010;18:14:12;6.255
28/09/2010;18:29:12;5.796
28/09/2010;18:44:12;5.565
28/09/2010;18:59:12;5.821
28/09/2010;19:14:12;6.102
28/09/2010;19:29:12;6.306
28/09/2010;19:44:12;6.763
28/09/2010;19:59:12;6.382
28/09/2010;20:14:12;6.281
28/09/2010;20:29:12;6.712
28/09/2010;20:44:12;6.585
28/09/2010;20:59:12;6.281
28/09/2010;21:14:12;6.204
28/09/2010;21:29:12;6.331
28/09/2010;21:44:12;6.484
28/09/2010;21:59:12;6.585
28/09/2010;22:14:12;6.306
28/09/2010;22:29:12;6.306
28/09/2010;22:44:12;6.611
28/09/2010;22:59:12;6.102
28/09/2010;23:14:12;5.949
28/09/2010;23:29:12;5.77
28/09/2010;23:44:12;5.488
28/09/2010;23:59:12;5.642
29/09/2010;0:14:12;5.642
29/09/2010;0:29:12;6.306
29/09/2010;0:44:12;6
29/09/2010;0:59:12;6.204
29/09/2010;1:14:12;5.924
29/09/2010;1:29:12;6.179
29/09/2010;1:44:12;6.864
29/09/2010;1:59:12;6.763
29/09/2010;2:14:12;6.077
29/09/2010;2:29:12;6.458
29/09/2010;2:44:12;6.382
29/09/2010;2:59:12;6.458
29/09/2010;3:14:12;6.585
29/09/2010;3:29:12;7.015
29/09/2010;3:44:12;6.712
29/09/2010;3:59:12;6.382
29/09/2010;4:14:12;6.509
29/09/2010;4:29:12;6.56
29/09/2010;4:44:12;5.949
29/09/2010;4:59:12;6.051
29/09/2010;5:14:12;6.737
29/09/2010;5:29:12;6.331
29/09/2010;5:44:12;7.091
29/09/2010;5:59:12;6.687
29/09/2010;6:14:12;6.331
29/09/2010;6:29:12;6.509
29/09/2010;6:44:12;6.763
29/09/2010;6:59:12;9.213
29/09/2010;7:14:12;11.029
29/09/2010;7:29:12;10.663
29/09/2010;7:44:12;11.346
29/09/2010;7:59:12;10.467
29/09/2010;8:14:12;12.389
29/09/2010;8:29:12;11.175
29/09/2010;8:44:12;11.467
29/09/2010;8:59:12;11.953
29/09/2010;9:14:12;12.703
29/09/2010;9:29:12;13.257
29/09/2010;9:44:12;13.81
29/09/2010;9:59:12;14.649
29/09/2010;10:14:12;15.103
29/09/2010;10:29:12;16.249
29/09/2010;10:44:12;15.127
29/09/2010;10:59:12;13.04
29/09/2010;11:14:12;13.473
29/09/2010;11:29:12;15.008
29/09/2010;11:44:12;13.112
29/09/2010;11:59:12;12.195
29/09/2010;12:14:12;12.847
29/09/2010;12:29:12;13.522
