"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
603;08/06/15 08:38:06;60.2;
604;08/06/15 08:42:35;60.3;
605;08/06/15 08:49:47;60.4;
606;08/06/15 08:52:18;60.5;
607;08/06/15 08:55:10;60.6;
608;08/06/15 08:57:42;60.7;
609;08/06/15 08:59:33;60.8;
610;08/06/15 09:01:33;60.9;
611;08/06/15 09:03:10;61.0;
612;08/06/15 09:04:59;61.1;
613;08/06/15 09:06:30;61.2;
614;08/06/15 09:08:11;61.3;
615;08/06/15 09:09:35;61.4;
616;08/06/15 09:11:08;61.5;
617;08/06/15 09:12:25;61.6;
618;08/06/15 09:13:53;61.7;
619;08/06/15 09:15:05;61.8;
620;08/06/15 09:16:31;61.9;
621;08/06/15 09:17:47;62.0;
622;08/06/15 09:19:13;62.1;
623;08/06/15 09:20:25;62.2;
624;08/06/15 09:21:49;62.3;
625;08/06/15 09:23:10;62.4;
626;08/06/15 09:25:07;62.5;
627;08/06/15 09:26:34;62.6;
628;08/06/15 09:28:16;62.7;
629;08/06/15 09:29:48;62.8;
630;08/06/15 09:31:55;62.9;
631;08/06/15 09:34:07;63.0;
632;08/06/15 09:35:33;63.1;
633;08/06/15 09:38:20;63.2;
634;08/06/15 09:39:52;63.3;
635;08/06/15 09:40:57;63.4;
636;08/06/15 09:41:57;63.5;
637;08/06/15 09:42:47;63.6;
638;08/06/15 09:43:46;63.7;
639;08/06/15 09:44:38;63.8;
640;08/06/15 09:45:45;63.9;
641;08/06/15 09:46:46;64.0;
642;08/06/15 09:47:50;64.1;
643;08/06/15 09:48:56;64.2;
644;08/06/15 09:50:15;64.3;
645;08/06/15 09:51:20;64.4;
646;08/06/15 09:52:27;64.5;
647;08/06/15 09:53:34;64.6;
648;08/06/15 09:55:54;64.7;
649;08/06/15 09:57:45;64.8;
650;08/06/15 14:58:53;64.9;
651;08/06/15 15:05:25;65.0;
652;08/06/15 15:09:25;65.1;
653;08/06/15 15:13:07;65.2;
654;08/06/15 15:19:31;65.3;
655;08/06/15 15:21:15;65.4;
656;08/06/15 15:27:48;65.5;
657;08/06/15 15:54:32;65.6;
658;08/06/15 15:59:53;65.7;
659;08/06/15 16:08:47;65.8;
660;08/06/15 17:01:54;65.9;
661;08/06/15 17:07:02;66.0;
662;08/06/15 17:09:01;66.1;
663;08/06/15 17:10:20;66.2;
664;08/06/15 17:11:19;66.3;
665;08/06/15 17:11:57;66.4;
666;08/06/15 17:12:53;66.5;
667;08/06/15 17:13:44;66.6;
668;08/06/15 17:15:38;66.7;
669;08/06/15 17:17:16;66.8;
670;08/06/15 17:18:41;66.9;
671;08/06/15 17:21:18;67.0;
672;09/06/15 01:47:18;67.1;
673;09/06/15 16:02:08;67.2;
674;09/06/15 16:03:33;67.3;
675;09/06/15 16:05:56;67.4;
676;09/06/15 16:09:08;67.5;
677;09/06/15 16:13:51;67.6;
678;10/06/15 02:01:30;67.7;
679;10/06/15 02:40:00;67.8;
680;10/06/15 02:55:15;67.9;
681;10/06/15 03:11:04;68.0;
682;10/06/15 03:25:51;68.1;
683;10/06/15 07:43:03;68.2;
684;12/06/15 09:57:53;68.3;
685;12/06/15 13:16:59;68.4;
686;12/06/15 19:30:48;68.5;
687;12/06/15 20:47:58;68.6;
688;13/06/15 02:55:41;68.7;
689;13/06/15 03:04:42;68.8;
690;13/06/15 03:21:34;68.9;
691;13/06/15 04:46:39;69.0;
692;13/06/15 05:13:04;69.1;
693;13/06/15 05:20:55;69.2;
694;13/06/15 06:57:57;69.3;
695;13/06/15 15:31:15;69.4;
696;13/06/15 16:07:12;69.5;
697;13/06/15 16:10:33;69.6;
698;13/06/15 16:14:48;69.7;
699;13/06/15 16:17:46;69.8;
700;13/06/15 16:29:07;69.9;
701;13/06/15 16:32:30;70.0;
702;13/06/15 16:35:37;70.1;
703;13/06/15 17:03:59;70.2;
704;15/06/15 21:46:50;70.3;
705;15/06/15 23:38:47;70.4;
706;15/06/15 23:59:15;70.5;
707;16/06/15 01:06:29;70.6;
708;16/06/15 01:58:28;70.7;
709;16/06/15 02:43:54;70.8;
710;16/06/15 02:58:37;70.9;
711;16/06/15 03:35:42;71.0;
